descricao;grupo;energia_kcal;proteina_g;carboidrato_g;lipideos_g;fibra_g;calcio_mg;ferro_mg;sodio_mg;potassio_mg;vitamina_c_mg
Merluza, filé, cru;Pescados e frutos do mar;89;16.6;0;2.3;0;25;0.3;101;320;0
Ostra, crua;Pescados e frutos do mar;59;7.0;3.0;2.0;0;45;5.5;510;156;0
Pescada, branca, crua;Pescados e frutos do mar;111;16.6;0;4.7;0;20;0.3;60;350;0
Pescada, branca, frita;Pescados e frutos do mar;191;19.0;5.0;10.0;0;25;0.4;70;380;0
Pintado, cru;Pescados e frutos do mar;90;18.6;0;1.5;0;15;0.4;50;340;0
Salmão, cru;Pescados e frutos do mar;170;19.9;0;9.7;0;12;0.3;59;363;0
Salmão, grelhado;Pescados e frutos do mar;243;26.0;0;15.0;0;15;0.4;65;400;0
Sardinha, em conserva;Pescados e frutos do mar;285;17.0;0;24.0;0;550;3.5;800;350;0
Sardinha, frita;Pescados e frutos do mar;262;22.0;5.0;17.0;0;400;3.0;500;380;0
Sardinha, inteira, crua;Pescados e frutos do mar;118;21.1;0;3.4;0;84;2.5;80;397;0
Tilápia, filé, cru;Pescados e frutos do mar;86;18.4;0;1.1;0;10;0.5;52;302;0
Tilápia, filé, grelhado;Pescados e frutos do mar;128;26.0;0;2.5;0;12;0.6;60;350;0
Truta, crua;Pescados e frutos do mar;90;18.0;0;2.0;0;20;0.5;50;380;0
Leite, de vaca, desnatado;Leites e derivados;35;3.4;5.0;0.2;0;123;0.1;52;156;1.0
Leite, de vaca, integral;Leites e derivados;61;3.2;4.5;3.3;0;123;0.1;61;164;1.0
Leite, de vaca, semidesnatado;Leites e derivados;46;3.3;4.8;1.5;0;123;0.1;56;160;1.0
Leite, condensado;Leites e derivados;312;7.4;55.5;7.3;0;260;0.2;110;350;2.0
Leite, em pó, desnatado;Leites e derivados;362;35.5;52.0;0.8;0;1257;0.5;535;1794;7.0
Leite, em pó, integral;Leites e derivados;496;26.3;38.4;26.7;0;890;0.5;371;1330;8.0
Creme de leite;Leites e derivados;239;2.0;3.5;24.0;0;80;0.1;35;100;0.5
Iogurte, natural, desnatado;Leites e derivados;42;4.1;5.9;0.3;0;143;0.1;70;234;0.6
Iogurte, natural, integral;Leites e derivados;51;4.1;4.9;1.5;0;143;0.1;70;234;0.6
Iogurte, sabor morango;Leites e derivados;90;2.6;17.0;1.5;0;100;0.1;50;170;0.5
Manteiga, com sal;Leites e derivados;726;0.4;0;82.4;0;15;0;625;24;0
Manteiga, sem sal;Leites e derivados;758;0.4;0;86.0;0;15;0;11;24;0
Nata;Leites e derivados;194;2.5;4.0;19.0;0;90;0.1;40;110;0.5
Queijo, cottage;Leites e derivados;98;11.0;3.4;4.3;0;73;0.1;405;84;0
Queijo, minas, frescal;Leites e derivados;264;17.4;3.2;20.2;0;579;0.1;31;104;0
Queijo, minas, meia cura;Leites e derivados;321;21.0;2.0;25.5;0;685;0.2;550;90;0
Queijo, mussarela;Leites e derivados;330;22.6;3.0;25.2;0;505;0.3;604;68;0
Queijo, parmesão;Leites e derivados;453;35.6;3.5;32.0;0;992;0.5;1602;100;0
Queijo, prato;Leites e derivados;360;23.0;1.5;29.0;0;700;0.3;650;80;0
Queijo, provolone;Leites e derivados;351;25.6;2.1;26.6;0;756;0.5;876;93;0
Queijo, ricota;Leites e derivados;140;12.6;3.8;8.0;0;253;0.4;84;105;0
Requeijão, cremoso;Leites e derivados;257;4.4;2.5;25.0;0;100;0.1;350;60;0
Requeijão, light;Leites e derivados;150;8.0;3.0;12.0;0;120;0.1;400;70;0
Ovo, de galinha, inteiro, cozido;Ovos e derivados;146;13.3;0.6;9.5;0;49;1.5;146;126;0
Ovo, de galinha, inteiro, cru;Ovos e derivados;143;13.0;0.7;9.5;0;42;1.6;140;130;0
Ovo, de galinha, inteiro, frito;Ovos e derivados;240;15.6;0.6;19.0;0;60;2.0;200;150;0
Ovo, de codorna, inteiro, cru;Ovos e derivados;158;13.0;0.4;11.0;0;64;3.7;141;132;0
Ovo, de galinha, clara, crua;Ovos e derivados;51;10.9;1.0;0.2;0;6;0.1;166;163;0
Ovo, de galinha, gema, crua;Ovos e derivados;352;16.0;1.6;31.0;0;130;4.0;48;100;0
Açúcar, cristal;Açúcares e doces;387;0;99.6;0;0;1;0.1;Tr;2;0
Açúcar, demerara;Açúcares e doces;376;0;97.0;0;0;22;0.8;Tr;100;0
Açúcar, mascavo;Açúcares e doces;369;0.4;94.5;0;0;85;4.2;29;522;0
Açúcar, refinado;Açúcares e doces;387;0;99.9;0;0;1;0.1;Tr;2;0
Bala, caramelo;Açúcares e doces;394;0.5;91.0;3.5;0;20;0.2;150;30;0
Brigadeiro;Açúcares e doces;374;4.5;62.0;12.5;1.0;100;1.0;100;200;0
Chocolate, ao leite;Açúcares e doces;540;7.5;59.0;30.0;2.0;200;2.5;80;400;0
Chocolate, amargo;Açúcares e doces;479;5.0;63.0;24.0;5.0;50;3.5;10;350;0
Chocolate, branco;Açúcares e doces;539;8.0;59.0;30.5;0;250;0.5;90;300;0
Cocada;Açúcares e doces;420;2.5;60.0;19.0;3.0;15;0.8;50;150;0
Doce de leite;Açúcares e doces;307;5.5;55.0;7.5;0;200;0.3;130;300;1.0
Geleia, de frutas;Açúcares e doces;262;0.3;68.0;0.1;0.5;8;0.3;10;50;2.0
Goiabada;Açúcares e doces;250;0.4;62.0;0.1;2.5;10;0.3;15;80;15.0
Mel;Açúcares e doces;309;0.3;84.0;0;0;5;0.4;5;52;0.5
Paçoca;Açúcares e doces;470;13.0;52.0;24.0;3.0;40;1.5;200;400;0
Pudim de leite;Açúcares e doces;180;4.0;30.0;5.0;0;100;0.2;80;150;0.5
Rapadura;Açúcares e doces;352;0.5;90.0;0.2;0;80;4.0;25;500;0
Sorvete, creme;Açúcares e doces;201;3.5;24.0;10.5;0;120;0.1;80;180;0.5
Sorvete, chocolate;Açúcares e doces;216;4.0;28.0;10.0;1.0;100;0.5;70;200;0
Azeite, de dendê;Óleos e gorduras;884;0;0;100;0;0;0;Tr;0;0
Azeite, de oliva, extra virgem;Óleos e gorduras;884;0;0;100;0;0;0;Tr;0;0
Banha de porco;Óleos e gorduras;898;0;0;99.8;0;0;0;Tr;0;0
Gordura vegetal hidrogenada;Óleos e gorduras;900;0;0;100;0;0;0;Tr;0;0
Margarina, com sal;Óleos e gorduras;720;0.1;0.4;80.5;0;4;0;800;20;0
Margarina, light;Óleos e gorduras;370;0.1;0.5;41.0;0;4;0;600;20;0
Óleo, de canola;Óleos e gorduras;884;0;0;100;0;0;0;Tr;0;0
Óleo, de girassol;Óleos e gorduras;884;0;0;100;0;0;0;Tr;0;0
Óleo, de milho;Óleos e gorduras;884;0;0;100;0;0;0;Tr;0;0
Óleo, de soja;Óleos e gorduras;884;0;0;100;0;0;0;Tr;0;0
Café, infusão 10%;Bebidas;9;0.5;1.5;0.1;0;3;0.1;1;65;0
Café, solúvel, pó;Bebidas;419;14.7;75.4;0.5;0;141;4.4;50;3535;0
Cerveja, pilsen;Bebidas;40;0.3;3.5;0;0;4;Tr;4;27;0
Chá, de camomila, infusão;Bebidas;1;0;0.2;0;0;2;0.1;1;9;0
Chá, mate, infusão;Bebidas;2;0;0.4;0;0;3;0.1;1;12;0
Chá, preto, infusão;Bebidas;1;0;0.2;0;0;1;0;1;18;0
Refrigerante, tipo cola;Bebidas;37;0;9.4;0;0;2;0;4;1;0
Refrigerante, tipo guaraná;Bebidas;40;0;10.0;0;0;1;0;3;1;0
Refrigerante, tipo laranja;Bebidas;46;0;11.5;0;0;2;0;5;2;0
Refrigerante, tipo limão;Bebidas;40;0;10.0;0;0;1;0;4;1;0
Suco, de abacaxi, concentrado;Bebidas;52;0.3;13.0;0.1;0.1;13;0.3;2;130;10.0
Suco, de laranja, concentrado;Bebidas;47;0.6;11.0;0.1;0.1;10;0.2;1;200;40.0
Suco, de maracujá, concentrado;Bebidas;44;0.4;11.0;0.1;0.1;4;0.3;2;130;8.0
Suco, de uva, concentrado;Bebidas;57;0.2;14.0;0.1;0.1;8;0.3;3;100;0.5
Vinho, tinto, seco;Bebidas;70;0.1;2.5;0;0;8;0.5;4;104;0
Água de coco;Bebidas;22;0;5.3;0.2;0;25;0.2;25;162;2.4
Catchup;Miscelâneas;100;1.5;24.0;0.3;0.5;15;0.5;1000;300;10.0
Fermento, biológico, tablete;Miscelâneas;70;8.4;11.0;0.5;3.0;10;1.5;30;600;0
Fermento, químico, pó;Miscelâneas;80;0;20.0;0;0;5000;0;10000;0;0
Gelatina, pó;Miscelâneas;381;86.0;0;0.1;0;11;0.5;196;22;0
Levedura, de cerveja;Miscelâneas;52;8.0;4.0;0.5;3.0;20;2.0;30;600;0
Maionese, tradicional;Miscelâneas;312;1.0;6.0;31.0;0;10;0.3;600;20;0
Mostarda;Miscelâneas;60;4.0;5.0;3.0;3.0;60;1.5;1100;150;0
Sal, dietético;Miscelâneas;0;0;0;0;0;0;0;20000;20000;0
Sal, grosso;Miscelâneas;0;0;0;0;0;24;0;38758;8;0
Sal, refinado;Miscelâneas;0;0;0;0;0;24;0;38758;8;0
Shoyu;Miscelâneas;53;5.0;6.0;0.1;0.5;20;2.0;5500;200;0
Vinagre;Miscelâneas;19;0;0.8;0;0;6;0.5;8;35;0
Hambúrguer, bovino, grelhado;Alimentos preparados;258;17.0;8.0;18.0;0.5;20;2.5;500;250;0
Hambúrguer, frango, grelhado;Alimentos preparados;180;20.0;8.0;8.0;0.5;15;1.0;450;220;0
Lasanha, bolonhesa;Alimentos preparados;142;7.0;15.0;6.0;1.0;80;1.0;350;150;2.0
Macarrão, à bolonhesa;Alimentos preparados;130;6.0;18.0;4.0;1.5;30;1.0;300;180;3.0
Macarrão, ao alho e óleo;Alimentos preparados;180;4.0;25.0;7.0;1.0;10;0.5;200;50;0
Pizza, calabresa;Alimentos preparados;239;10.0;28.0;10.0;1.5;100;1.5;600;180;2.0
Pizza, mussarela;Alimentos preparados;234;11.0;27.0;9.0;1.5;150;1.0;550;150;1.0
Risoto, de frango;Alimentos preparados;140;6.0;20.0;4.0;0.5;20;0.5;350;120;1.0
Sopa, de legumes;Alimentos preparados;30;1.0;5.0;0.5;1.0;15;0.3;300;150;5.0
Strogonoff, de carne;Alimentos preparados;180;12.0;8.0;12.0;0.5;50;1.5;400;250;1.0
Yakisoba;Alimentos preparados;150;6.0;22.0;4.0;2.0;20;1.0;600;200;5.0
Coxinha, de frango, frita;Alimentos preparados;281;8.0;28.0;15.0;1.0;20;1.0;400;150;0
Empada, de frango;Alimentos preparados;353;8.0;30.0;22.0;1.0;30;1.0;350;120;0
Esfiha, de carne;Alimentos preparados;280;10.0;32.0;12.0;1.5;40;1.5;450;180;1.0
Kibe, frito;Alimentos preparados;325;12.0;25.0;20.0;2.0;30;2.0;500;250;0
Pastel, de carne, frito;Alimentos preparados;342;8.0;32.0;20.0;1.0;20;1.5;400;150;0
Pão de queijo;Alimentos preparados;363;5.1;34.2;22.6;0.5;115;0.5;540;60;0
Salgadinho, de milho, tipo chips;Alimentos preparados;542;6.0;54.0;33.0;3.0;30;1.5;800;200;0
Tapioca, com manteiga;Alimentos preparados;180;0.5;30.0;6.0;0.5;20;0.3;200;20;0
Feijoada;Alimentos preparados;138;9.0;10.0;7.0;4.0;25;1.5;600;300;0
Moqueca, de peixe;Alimentos preparados;120;12.0;5.0;6.0;1.0;30;0.8;400;350;5.0
Vatapá;Alimentos preparados;180;8.0;15.0;10.0;2.0;50;1.5;500;250;2.0
Acarajé;Alimentos preparados;289;6.0;25.0;18.0;3.0;40;2.0;400;300;0
Bobó de camarão;Alimentos preparados;150;10.0;12.0;7.0;1.5;40;1.0;450;280;3.0
Baião de dois;Alimentos preparados;160;8.0;22.0;5.0;3.0;30;1.5;350;250;0
Cuscuz, nordestino;Alimentos preparados;112;2.5;23.0;1.0;1.5;5;0.5;Tr;50;0
Pamonha;Alimentos preparados;180;4.0;30.0;5.0;2.0;10;0.5;100;150;2.0
Açaí, na tigela;Alimentos preparados;150;2.0;25.0;5.0;3.0;40;0.8;10;200;5.0
Vitamina, de banana;Alimentos preparados;100;3.0;18.0;2.0;1.0;100;0.3;50;300;5.0
Mingau, de aveia;Alimentos preparados;90;3.0;15.0;2.0;1.5;100;0.5;50;150;0.5
Canjica;Alimentos preparados;120;2.5;22.0;2.5;0.5;80;0.3;40;100;0
Arroz doce;Alimentos preparados;130;2.5;24.0;3.0;0.2;80;0.2;50;100;0.5
